 
                                                                                                                                                                                                                                                                
 
   caldt        vwretd        sprtrn      spindx

19251231       .             .               .  
19260102      0.004297       .               .  
19260104     -0.001357       .               .  
19260105     -0.004603       .               .  
19260106      0.000537       .               .  
19260107      0.003907       .               .  
19260108     -0.002693       .               .  
19260109      0.002218       .               .  
19260111     -0.006515       .               .  
19260112     -0.001597       .               .  
19260113      0.003465       .               .  
19260114     -0.005732       .               .  
19260115     -0.012153       .               .  
19260116     -0.000511       .               .  
19260118      0.004508       .               .  
19260119     -0.011540       .               .  
19260120      0.006186       .               .  
19260121     -0.008730       .               .  
19260122      0.006297       .               .  
19260123      0.004987       .               .  
19260125      0.005291       .               .  
19260126     -0.005960       .               .  
19260127      0.006636       .               .  
19260128      0.003137       .               .  
19260129      0.009238       .               .  
19260130      0.000009       .               .  
19260201     -0.004103       .               .  
19260202      0.006010       .               .  
19260203      0.004727       .               .  
19260204      0.004780       .               .  
19260205     -0.001882       .               .  
19260206     -0.000083       .               .  
19260208     -0.005627       .               .  
19260209      0.003226       .               .  
19260210      0.003489       .               .  
19260211      0.001654       .               .  
19260213      0.000201       .               .  
19260215     -0.019985       .               .  
19260216      0.004441       .               .  
19260217      0.006048       .               .  
19260218      0.001275       .               .  
19260219      0.000347       .               .  
19260220     -0.001093       .               .  
19260223     -0.009545       .               .  
19260224     -0.004227       .               .  
19260225     -0.012444       .               .  
19260226     -0.012005       .               .  
19260227      0.001351       .               .  
19260301     -0.015197       .               .  
19260302     -0.024114       .               .  
19260303     -0.016808       .               .  
19260304      0.042271       .               .  
19260305      0.003787       .               .  
19260306     -0.004807       .               .  
19260308     -0.004643       .               .  
19260309      0.005346       .               .  
19260310      0.009818       .               .  
19260311      0.006455       .               .  
19260312      0.003321       .               .  
19260313     -0.017525       .               .  
19260315      0.003143       .               .  
19260316     -0.003979       .               .  
19260317     -0.004902       .               .  
19260318     -0.012170       .               .  
19260319     -0.005740       .               .  
19260320      0.001846       .               .  
19260322      0.008015       .               .  
19260323     -0.006485       .               .  
19260324     -0.016472       .               .  
19260325     -0.001399       .               .  
19260326      0.002685       .               .  
19260327     -0.010038       .               .  
19260329     -0.022317       .               .  
19260330     -0.012175       .               .  
19260331      0.034989       .               .  
19260401      0.003967       .               .  
19260403     -0.000236       .               .  
19260405      0.005100       .               .  
19260406      0.009555       .               .  
19260407     -0.004164       .               .  
19260408     -0.004319       .               .  
19260409      0.000677       .               .  
19260410     -0.003047       .               .  
19260412     -0.019107       .               .  
19260413      0.010267       .               .  
19260414     -0.012908       .               .  
19260415      0.002818       .               .  
19260416      0.000042       .               .  
19260417      0.002807       .               .  
19260419      0.000777       .               .  
19260420      0.004656       .               .  
19260421      0.015531       .               .  
19260422      0.009272       .               .  
19260423      0.011533       .               .  
19260424      0.006770       .               .  
19260426     -0.006923       .               .  
19260427     -0.001158       .               .  
19260428      0.006942       .               .  
19260429      0.001811       .               .  
19260430     -0.002338       .               .  
19260501     -0.001858       .               .  
19260503     -0.016543       .               .  
19260504      0.004776       .               .  
19260505      0.001722       .               .  
19260506      0.002038       .               .  
19260507     -0.008789       .               .  
19260508     -0.000664       .               .  
19260510     -0.004460       .               .  
19260511      0.000599       .               .  
19260512      0.003519       .               .  
19260513     -0.002317       .               .  
19260514     -0.001664       .               .  
19260515     -0.002386       .               .  
19260517     -0.000568       .               .  
19260518     -0.001399       .               .  
19260519     -0.001768       .               .  
19260520      0.009558       .               .  
19260521      0.007050       .               .  
19260522      0.004522       .               .  
19260524      0.002977       .               .  
19260525      0.004021       .               .  
19260526      0.006064       .               .  
19260527      0.002671       .               .  
19260528      0.006872       .               .  
19260601     -0.004991       .               .  
19260602      0.004769       .               .  
19260603      0.004452       .               .  
19260604      0.001589       .               .  
19260605      0.000211       .               .  
19260607      0.001872       .               .  
19260608      0.001040       .               .  
19260609      0.000579       .               .  
19260610      0.001475       .               .  
19260611      0.009138       .               .  
19260612      0.006479       .               .  
19260614      0.005434       .               .  
19260615      0.000072       .               .  
19260616      0.005739       .               .  
19260617      0.008465       .               .  
19260618     -0.007409       .               .  
19260619      0.008156       .               .  
19260621      0.003165       .               .  
19260622      0.002162       .               .  
19260623     -0.007393       .               .  
19260624      0.002784       .               .  
19260625     -0.002794       .               .  
19260626     -0.000521       .               .  
19260628      0.002784       .               .  
19260629      0.005671       .               .  
19260630      0.002463       .               .  
19260701      0.002716       .               .  
19260702      0.004275       .               .  
19260706      0.000781       .               .  
19260707      0.002074       .               .  
19260708      0.002242       .               .  
19260709     -0.007629       .               .  
19260710      0.006689       .               .  
19260712      0.001369       .               .  
19260713      0.005007       .               .  
19260714      0.000770       .               .  
19260715     -0.004439       .               .  
19260716      0.005231       .               .  
19260717      0.004408       .               .  
19260719      0.000239       .               .  
19260720     -0.006844       .               .  
19260721     -0.004943       .               .  
19260722     -0.007862       .               .  
19260723      0.000200       .               .  
19260724     -0.000682       .               .  
19260726      0.006141       .               .  
19260727      0.004131       .               .  
19260728      0.011802       .               .  
19260729      0.005824       .               .  
19260730      0.002755       .               .  
19260731      0.006015       .               .  
19260802      0.007214       .               .  
19260803      0.006434       .               .  
19260804     -0.004990       .               .  
19260805     -0.000877       .               .  
19260806      0.007379       .               .  
19260807      0.005109       .               .  
19260809      0.001313       .               .  
19260810     -0.016169       .               .  
19260811     -0.005923       .               .  
19260812      0.011245       .               .  
19260813      0.008941       .               .  
19260814      0.006175       .               .  
19260816      0.001146       .               .  
19260817     -0.011025       .               .  
19260818      0.002670       .               .  
19260819     -0.007308       .               .  
19260820     -0.001691       .               .  
19260821      0.003627       .               .  
19260823      0.006257       .               .  
19260824     -0.009515       .               .  
19260825     -0.003327       .               .  
19260826      0.006277       .               .  
19260827      0.003533       .               .  
19260828      0.003397       .               .  
19260830      0.002494       .               .  
19260831      0.008127       .               .  
19260901      0.004860       .               .  
19260902      0.000077       .               .  
19260903      0.007763       .               .  
19260907      0.007463       .               .  
19260908     -0.006194       .               .  
19260909      0.000578       .               .  
19260910     -0.010110       .               .  
19260911     -0.005067       .               .  
19260913      0.000782       .               .  
19260914      0.011041       .               .  
19260915     -0.002918       .               .  
19260916     -0.000885       .               .  
19260917     -0.009284       .               .  
19260918      0.008449       .               .  
19260920     -0.005899       .               .  
19260921      0.004003       .               .  
19260922     -0.002042       .               .  
19260923      0.002617       .               .  
19260924      0.007508       .               .  
19260925      0.002409       .               .  
19260927     -0.001923       .               .  
19260928     -0.000015       .               .  
19260929     -0.003615       .               .  
19260930      0.004460       .               .  
19261001      0.008863       .               .  
19261002     -0.000974       .               .  
19261004     -0.015321       .               .  
19261005     -0.011636       .               .  
19261006     -0.004755       .               .  
19261007     -0.009997       .               .  
19261008      0.006137       .               .  
19261009     -0.010681       .               .  
19261011     -0.007048       .               .  
19261013      0.009222       .               .  
19261014      0.009533       .               .  
19261015     -0.019495       .               .  
19261016     -0.007620       .               .  
19261018      0.008787       .               .  
19261019     -0.012061       .               .  
19261020      0.000422       .               .  
19261021      0.017210       .               .  
19261022     -0.005123       .               .  
19261023      0.004855       .               .  
19261025     -0.000297       .               .  
19261026      0.002688       .               .  
19261027      0.012247       .               .  
19261028     -0.001960       .               .  
19261029     -0.000714       .               .  
19261030     -0.002630       .               .  
